States/UTs,Crime Head,2014
Andhra Pradesh,"1 - Protection of Civil Rights Act, 1955",1
Andhra Pradesh,2.1 - Murder (Section 302 & 303 IPC),5
Andhra Pradesh,2.2 - Attempt to commit Murder (Section 307 IPC),7
Andhra Pradesh,2.3 - Rape (Section 376 IPC),17
Andhra Pradesh,2.4 - Attempt to commit Rape,1
Andhra Pradesh,2.5 - Assault on women with intent to outrage her Modesty (Section 354 IPC),29
Andhra Pradesh,2.5.1 - Sexual Harassment (Section 354A IPC),5
Andhra Pradesh,2.5.2 - Assault on women with intent to Disrobe (Section 354B IPC),0
Andhra Pradesh,2.5.3 - Voyeurism (Section 354C IPC),1
Andhra Pradesh,2.5.4 - Stalking (Section 354D IPC),1
Andhra Pradesh,2.5.5 - Other Sexual Harassment,22
Andhra Pradesh,2.6 - Insult to the Modesty of women (Section 509 IPC),4
Andhra Pradesh,"2.7 - Kidnapping & Abduction (Section 363,364,364A, 366-369 IPC)",10
Andhra Pradesh,2.7.1 - Kidnaping & Abduction (Section 363 IPC),1
Andhra Pradesh,2.7.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),0
Andhra Pradesh,2.7.3 - Kidnapping for Ransom (Section 364A IPC),0
Andhra Pradesh,2.7.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),1
Andhra Pradesh,2.7.5 - Other Kidnapping,8
Andhra Pradesh,"2.8 - Dacoity (Section 395,396-398 IPC)",0
Andhra Pradesh,2.8.1 - Dacoity with Murder (Section 396 IPC),0
Andhra Pradesh,2.8.2 - Other Dacoity,0
Andhra Pradesh,"2.9 - Robbery (Section 392 to 394, 397 & 398 IPC)",0
Andhra Pradesh,"2.10 - Arson (Section 435,436 & 438 IPC)",1
Andhra Pradesh,"2.11 - Grievous Hurt (Section 325,326,326A & 326 B IPC)",3
Andhra Pradesh,2.11.1 - Hurt (Section 325 & 326 IPC),3
Andhra Pradesh,2.11.2 - Acid attack (Section 326A IPC),0
Andhra Pradesh,2.11.3 - Attempt to Acid Attack (Section 326B IPC),0
Andhra Pradesh,"2.12 - Riots (Sections 147, 148, 149, 150 & 151 IPC)",4
Andhra Pradesh,2.13 - Other IPC crimes,239
Andhra Pradesh,2.14 - SC / ST (Prevention of Atrocities) Act only,69
Andhra Pradesh,2 - Total of SC/ST (Prevention of Atrocities) Act,389
Andhra Pradesh,3.1 - Murder (Section 302 & 303 IPC),3
Andhra Pradesh,3.2 - Attempt to commit Murder (Section 307 IPC),4
Andhra Pradesh,3.3 - Rape (Section 376 IPC),5
Andhra Pradesh,3.4 - Attempt to commit Rape (Section 376/511 IPC),0
Andhra Pradesh,3.5 - Assault on women with intent to outrage her Modesty (Section 354 IPC),14
Andhra Pradesh,3.5.1 - Sexual Harassment (Section 354A IPC),0
Andhra Pradesh,3.5.2 - Assault on women with intent to Disrobe (Section 354B IPC),0
Andhra Pradesh,3.5.3 - Voyeurism (Section 354C IPC),0
Andhra Pradesh,3.5.4 - Stalking (Section 354D IPC),2
Andhra Pradesh,3.5.5 - Other Sexual Harassment,12
Andhra Pradesh,3.6 - Insult to the Modesty of women (Section 509 IPC),10
Andhra Pradesh,"3.7 - Kidnapping & Abduction (Section 363,364,364A, 366-369 IPC)",2
Andhra Pradesh,3.7.1 - Kidnaping & Abduction (Section 363 IPC),1
Andhra Pradesh,3.7.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),0
Andhra Pradesh,3.7.3 - Kidnapping for Ransom (Section 364A IPC),0
Andhra Pradesh,3.7.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),0
Andhra Pradesh,3.7.5 - Other Kidnapping,1
Andhra Pradesh,"3.8 - Dacoity (Section 395,396-398 IPC)",0
Andhra Pradesh,3.8.1 - Dacoity with Murder (Section 396 IPC),0
Andhra Pradesh,3.8.2 - Other Dacoity,0
Andhra Pradesh,"3.9 - Robbery (Section 392 to 394, 397 & 398 IPC)",1
Andhra Pradesh,3.10 - Arson (Section 435-436 & 438 IPC),0
Andhra Pradesh,"3.11 - Grievous Hurt (Section 325,326,326A & 326 B IPC)",1
Andhra Pradesh,3.11.1 - Grievous Hurt (Section 325 & 326 IPC),1
Andhra Pradesh,3.11.2 - Acid attack (Section 326A IPC),0
Andhra Pradesh,3.11.3 - Attempt to Acid Attack (Section 326B IPC),0
Andhra Pradesh,"3.12 - Riots (Sections 147, 148, 149, 150 & 151 IPC)",0
Andhra Pradesh,3.13 - Other IPC crimes,197
Andhra Pradesh,3 - Total IPC crimes against STs,237
Andhra Pradesh,"4 - Manual Scavengers and Construction of Dry Latrines (P) Act, 1993",0
Andhra Pradesh,5 - Other SLL Crime against STs,0
Andhra Pradesh,6 - Total crimes against STs,627
Arunachal Pradesh,"1 - Protection of Civil Rights Act, 1955",0
Arunachal Pradesh,2.1 - Murder (Section 302 & 303 IPC),0
Arunachal Pradesh,2.2 - Attempt to commit Murder (Section 307 IPC),0
Arunachal Pradesh,2.3 - Rape (Section 376 IPC),0
Arunachal Pradesh,2.4 - Attempt to commit Rape,0
Arunachal Pradesh,2.5 - Assault on women with intent to outrage her Modesty (Section 354 IPC),0
Arunachal Pradesh,2.5.1 - Sexual Harassment (Section 354A IPC),0
Arunachal Pradesh,2.5.2 - Assault on women with intent to Disrobe (Section 354B IPC),0
Arunachal Pradesh,2.5.3 - Voyeurism (Section 354C IPC),0
Arunachal Pradesh,2.5.4 - Stalking (Section 354D IPC),0
Arunachal Pradesh,2.5.5 - Other Sexual Harassment,0
Arunachal Pradesh,2.6 - Insult to the Modesty of women (Section 509 IPC),0
